adjectives
やさしい
かしこい
たのしい
すてきな
ゆかいな
しあわせな
おだやかな
かわいい
かっこいい
げんきな
さわやかな
しんせつな
ゆうがな
すばらしい
ほがらかな
ていねいな
しっかりした
ゆうかんな
ふんわりした
のびのびした
