ネコ
イヌ
ウマ
ゾウ
キツネ
パンダ
シカ
サル
カワウソ
タカ
フクロウ
コアラ
クマ
ペンギン
ライオン
ウサギ
ハムスター
ヒツジ
イルカ
トラ
